CODE,PFTOT,PF0004,PF0509,PF1014,PF1519,PF2024,PF2529,PF3034,PF3539,PF4044,PF4549,PF5054,PF5559,PF6064,PF6569,PF7074,PF7579,PF8084,PF85P
10010165,262,5,6,8,13,15,23,14,14,15,11,22,26,30,26,17,6,7,4
10010166,159,3,3,3,8,10,13,7,9,8,7,10,14,17,17,15,7,6,2
10010167,222,6,8,9,13,15,15,7,10,14,10,14,20,24,26,19,6,3,3
10010168,270,9,13,9,11,14,20,11,18,17,15,19,20,25,26,21,9,7,6
10010169,141,4,5,6,6,11,13,6,6,7,5,12,16,13,12,9,3,3,4
10010170,202,3,6,12,13,13,14,9,10,11,8,22,20,19,19,12,5,4,2
10010171,251,7,8,11,17,19,24,13,12,10,13,28,28,21,15,11,6,6,2
10010172,118,7,9,9,10,7,8,6,6,7,6,10,7,7,8,6,2,1,2
10010173,444,20,22,17,23,38,45,34,29,29,33,46,47,27,13,9,5,4,3
10010174,454,9,9,14,18,44,46,31,24,21,26,41,51,40,30,22,12,8,8
10010175,520,25,26,28,31,39,47,44,39,32,35,36,42,35,23,16,12,6,4
10010176,245,15,13,6,8,14,19,20,19,13,13,25,27,18,12,9,7,4,3
10010180,272,12,12,10,15,18,20,13,12,15,15,21,20,28,26,17,8,4,6
10010181,193,8,8,5,6,7,12,13,8,9,9,13,14,18,19,20,14,6,4
10010182,184,5,7,4,8,10,13,14,14,15,14,12,13,13,17,15,8,2,0
10010187,379,11,11,17,22,20,27,20,17,26,29,29,33,31,37,22,12,6,9
10010191,323,13,15,24,16,19,21,21,20,28,20,25,21,21,22,11,13,8,5
10010192,143,6,5,7,6,9,10,10,5,10,10,16,12,9,12,7,4,3,2
10010193,233,10,8,9,10,16,14,15,17,19,16,21,21,19,18,7,6,4,3
10010194,99,0,0,2,3,4,6,6,7,10,8,10,12,9,8,4,4,4,2
10010195,428,19,16,11,14,18,42,37,32,25,31,37,33,31,27,21,14,10,10
10010196,281,9,9,8,14,10,17,13,10,12,19,22,18,13,18,21,30,22,16
10010198,227,7,7,5,11,11,23,22,16,13,15,19,22,23,15,7,5,3,3
10010199,235,6,8,6,10,8,10,11,12,13,13,11,12,12,12,20,19,17,35
10010200,226,12,10,6,5,8,10,18,21,15,13,21,25,21,14,11,6,7,3
10010201,243,6,5,8,8,9,16,24,21,16,13,20,20,23,15,16,10,9,4
10010202,234,8,7,12,13,12,15,16,18,13,9,19,18,24,19,13,7,7,4
10010203,178,5,6,7,7,10,10,12,13,9,8,16,16,14,11,16,8,6,4
10010204,302,17,17,20,10,26,38,22,17,18,18,22,15,17,15,14,5,5,6
10010206,544,23,22,15,13,22,49,47,35,27,24,26,35,35,30,34,39,35,33
10010207,708,30,32,38,33,58,74,65,53,50,41,47,54,37,33,26,12,13,12
10010208,987,45,45,47,46,81,107,104,69,54,57,76,81,60,41,30,23,12,9
10010209,248,3,4,10,11,15,19,12,9,15,21,24,28,24,21,14,8,4,6
10010210,204,7,7,11,8,10,13,16,13,13,14,17,17,16,15,13,6,4,4
10010211,367,8,8,17,18,16,16,17,17,18,17,27,35,38,31,35,20,17,12
10010212,195,3,2,2,6,10,18,16,12,11,12,19,23,18,15,13,7,4,4
10010213,421,13,11,6,5,10,23,21,23,15,14,26,27,31,30,47,48,38,33
10010214,194,8,12,4,9,11,24,18,16,14,15,18,10,9,7,9,4,5,1
10010215,195,6,5,4,12,18,25,17,14,11,15,19,12,6,8,9,5,6,3
10010216,190,3,2,5,10,9,24,21,17,13,15,16,15,11,8,6,5,6,4
10010217,162,3,3,1,3,7,13,14,13,7,11,16,18,16,14,9,5,4,5
10010218,200,6,7,5,6,8,19,19,8,9,17,9,17,21,15,9,12,4,9
10010219,341,11,13,12,7,18,24,24,19,21,28,31,33,28,26,17,16,7,6
10010220,184,7,8,7,8,10,12,11,12,11,9,13,16,17,13,11,7,8,4
10010221,288,6,6,12,8,16,18,19,12,12,16,20,24,31,33,20,20,8,7
10010222,269,7,7,8,9,19,30,28,22,11,13,15,23,20,18,12,6,12,9
10010223,245,2,4,10,9,19,35,26,18,6,11,15,21,18,17,14,5,13,2
10010224,226,5,4,3,2,9,23,29,12,5,9,15,22,27,20,16,12,7,6
10010225,139,5,6,6,3,11,11,15,14,11,6,11,12,9,5,4,4,5,1
10010226,329,17,17,31,22,21,40,31,22,20,26,19,18,9,11,7,8,6,4
10010227,200,11,7,6,6,11,18,26,27,13,12,11,18,12,11,4,2,4,1
10010228,180,6,5,5,3,11,22,27,23,12,10,11,15,15,10,3,0,1,1
10010229,218,7,8,11,8,18,19,23,18,16,11,12,18,16,11,9,5,4,4
10010230,232,4,5,5,7,15,19,22,15,11,12,13,17,17,21,24,13,8,4
10010231,274,5,6,8,10,31,28,36,25,20,16,14,21,18,13,11,5,4,3
10010232,181,4,6,7,3,10,19,20,16,11,8,9,11,13,17,12,4,6,5
10010233,191,11,10,7,10,21,17,15,9,4,16,20,15,13,5,2,9,3,4
10010234,255,4,5,6,7,30,33,31,20,16,14,15,17,15,13,10,6,8,5
10010235,151,5,6,3,5,22,22,17,5,5,6,10,13,7,9,6,5,1,4
10010236,260,14,18,16,18,33,31,10,14,20,16,21,13,13,9,7,2,4,1
10010237,211,4,3,1,3,48,41,15,2,0,8,13,19,13,9,10,9,8,5
10010238,191,4,5,5,4,28,29,19,10,5,4,8,12,13,12,11,7,7,8
10010239,269,12,7,5,7,41,52,32,23,6,11,5,19,6,17,14,2,5,5
10010240,344,15,16,13,18,61,64,32,16,20,14,23,15,5,9,9,5,4,5
10010241,255,11,9,1,9,23,38,14,6,5,9,5,13,12,19,19,28,16,18
10010242,327,14,14,13,12,28,44,43,27,22,19,18,16,17,16,8,5,5,6
10010243,530,22,18,22,25,69,79,65,39,31,27,30,31,22,15,12,12,6,5
10010244,435,15,15,12,13,45,57,54,39,25,21,20,28,32,31,14,6,5,3
10010245,236,9,10,7,12,29,22,18,22,14,18,17,12,14,10,13,6,2,1
10010246,199,4,5,2,10,31,30,16,10,8,5,12,7,9,10,12,18,6,4
10010247,189,7,8,5,6,13,26,16,14,11,10,11,9,7,6,13,15,7,5
10010248,188,4,3,1,8,31,32,21,9,4,10,11,11,11,9,6,5,7,5
10010249,209,7,11,2,10,50,32,24,19,9,1,5,5,10,5,1,9,1,8
10010250,270,9,10,6,16,44,47,28,11,5,8,18,19,21,11,6,5,3,3
10010251,190,3,4,8,10,14,18,15,15,10,12,12,15,13,18,11,3,5,4
10010252,256,5,8,9,11,16,13,12,12,13,13,17,21,23,27,19,8,18,11
10010253,207,5,6,6,16,20,16,9,8,8,15,18,22,15,14,11,5,9,4
10010254,420,8,10,12,12,29,34,21,15,14,16,21,36,31,26,26,24,29,56
10010255,262,10,12,10,10,18,20,16,15,13,17,15,22,22,20,14,9,9,10
10010256,220,5,6,4,4,14,16,15,15,12,10,15,23,22,16,14,10,8,11
10010257,252,8,7,11,17,18,18,13,12,11,14,18,23,20,19,13,8,9,13
10010258,369,13,15,10,9,20,27,28,20,13,18,21,24,25,19,18,14,26,49
10010259,296,13,13,13,16,20,21,22,19,22,23,20,23,17,17,12,7,8,10
10010260,221,6,6,10,11,10,12,17,17,12,11,19,17,16,15,12,15,9,6
10010261,282,9,7,13,19,20,15,21,15,17,27,23,22,15,12,12,18,10,7
10010262,262,14,11,8,9,14,30,42,20,9,15,18,8,11,8,11,23,4,7
10010263,306,17,17,23,17,17,21,25,19,14,22,20,21,17,13,12,15,10,6
10010264,279,12,9,12,9,9,20,23,21,10,16,25,23,16,17,22,18,8,9
10010265,289,15,15,18,14,18,14,22,21,17,19,21,20,16,14,13,17,11,4
10010266,372,8,9,18,23,25,19,28,22,21,30,27,26,34,26,22,19,8,7
10010267,302,9,13,12,10,14,16,18,17,17,18,23,22,24,35,29,15,7,3
10010268,144,3,2,3,5,5,6,6,6,4,8,14,15,14,16,19,11,5,2
10010269,563,19,26,29,38,32,26,26,35,33,47,43,43,45,50,38,19,9,5
10010270,437,12,20,25,25,23,28,29,29,29,35,32,33,26,25,27,21,12,6
10010271,237,9,15,19,24,18,9,6,9,12,22,27,23,16,13,9,3,1,2
10010272,268,8,12,21,22,18,11,7,10,16,23,25,27,24,21,13,6,3,1
10010273,893,42,59,51,54,52,46,49,77,76,76,67,56,51,60,42,20,9,6
10010276,126,4,4,4,6,6,12,12,7,8,8,6,6,8,8,13,9,3,2
10010277,264,10,10,12,12,14,24,19,15,18,22,18,19,23,18,14,8,5,3
10010278,106,5,3,2,3,8,16,10,3,6,9,11,9,5,4,8,3,1,0
10010279,470,24,22,26,23,19,24,21,22,25,28,31,36,38,41,39,29,12,10
10010280,173,14,9,8,9,9,8,13,13,11,11,10,13,16,15,10,3,1,0
10010281,127,9,4,5,2,6,16,12,12,8,8,9,9,6,4,8,7,2,0
10010282,344,19,18,28,26,17,19,22,24,35,27,21,11,28,17,18,9,4,1
10010283,460,6,4,10,9,13,53,27,20,21,20,15,27,45,52,60,38,19,21
10010284,186,5,4,1,0,8,19,13,10,10,12,18,27,19,11,12,10,4,3
10010285,208,9,6,7,5,9,16,20,15,9,12,13,14,18,14,15,13,9,4
10010286,254,5,5,14,10,8,21,14,21,21,17,20,25,16,20,19,11,6,1
10010290,254,3,5,4,6,29,35,32,18,17,13,18,16,16,20,13,6,2,1
10010294,149,4,5,2,5,10,17,27,12,9,11,13,12,6,3,3,5,1,4
10010295,197,2,4,4,4,17,31,27,12,7,13,19,17,12,14,8,2,0,4
10010296,187,7,11,5,5,13,28,17,16,12,13,11,12,12,9,6,5,1,4
10010297,231,11,14,6,12,17,19,22,17,13,11,19,17,14,11,10,6,6,6
10010298,252,7,7,2,9,18,21,24,15,17,12,24,18,13,8,16,9,15,17
10010299,279,4,6,5,5,19,46,40,26,20,19,16,21,17,14,9,6,4,2
10010300,178,7,10,5,3,18,29,19,13,5,8,11,17,8,11,9,1,1,3
10010301,181,7,5,12,5,23,22,22,18,13,5,14,10,5,9,9,1,0,1
10010302,211,2,1,4,2,14,34,32,26,17,14,11,17,13,10,8,5,1,0
10010303,134,3,4,2,4,9,29,7,10,9,11,5,20,4,7,5,4,1,0
10010304,246,6,8,7,4,14,37,37,26,18,14,13,16,12,9,13,9,2,1
10010305,266,7,7,1,5,9,37,23,23,11,10,16,32,24,18,21,10,4,8
10010306,241,6,5,5,7,15,41,27,26,7,8,13,23,19,14,8,10,1,6
10010307,175,6,6,6,4,6,18,23,14,9,9,10,13,16,13,7,8,4,3
10010308,188,4,4,4,6,17,23,24,14,14,13,12,15,13,11,7,4,2,1
